Sample,Patient,Sample_Type,Replication,Relative.Abundance..Firmicutes,Relative.Abundance..Bacteroidetes,Relative.Abundance..Actinobacteria,Relative.Abundance..Other.Bacteria,Relative.Abundance..Viruses,Relative.Abundance..Fungi,Relative.Abundance..Unclassified...Root,Relative.Abundance..Unclassified,Ratio.of.Bacteroidetes.to.Firmicutes,Richness.0.01.,Richness.0.001.,Richness.0.0001.,Richness.0.00001.,Richness.Any.,Shannon.Entropy,Inv.Simpson,Firmicutes..Faecalibacterium,Firmicutes..unclassified.Clostridiales..miscellaneous.,Firmicutes..Firmicutes..environmental.samples,Firmicutes..unclassified.Ruminococcaceae,Firmicutes..Ruminococcus,Firmicutes..Clostridium,Firmicutes..Roseburia,Firmicutes..Oscillibacter,Firmicutes..Butyricicoccus,Firmicutes..Clostridiales..environmental.samples,Firmicutes..Coprococcus,Firmicutes..unclassified.Lachnospiraceae,Firmicutes..Megamonas,Firmicutes..Gemmiger,Firmicutes..Eubacterium,Firmicutes..unclassified.Oscillospiraceae,Firmicutes..unclassified.Firmicutes.sensu.stricto..miscellaneous.,Firmicutes..Subdoligranulum,Firmicutes..Flavonifractor,Firmicutes..Blautia,Firmicutes..Dialister,Firmicutes..Dorea,Firmicutes..Streptococcus,Firmicutes..Lachnoclostridium,Firmicutes..Megasphaera,Firmicutes..Neglecta,Firmicutes..Intestinimonas,Firmicutes..Lachnospiraceae..environmental.samples,Firmicutes..unclassified.Clostridiaceae,Firmicutes..Anaerotruncus,Firmicutes..Candidatus.Borkfalkia,Bacteroidetes..Bacteroides,Bacteroidetes..Alistipes,Bacteroidetes..Prevotella,Bacteroidetes..Parabacteroides,Bacteroidetes..Odoribacter,Bacteroidetes..Butyricimonas,Bacteroidetes..unclassified.Rikenellaceae,Bacteroidetes..Prevotellaceae..environmental.samples,Actinobacteria..Collinsella,Actinobacteria..Bifidobacterium,Actinobacteria..Enterorhabdus,Actinobacteria..Eggerthella,Proteobacteria..Azospirillum,Proteobacteria..Sutterella,Proteobacteria..Bilophila,Lentisphaerae..unclassified.Lentisphaeria,Basidiomycota..Malassezia,null..Tobamovirus,null..Viruses..environmental.samples,Verrucomicrobia..Akkermansia,RNAConcentration,RawReads,DeduplicatedReads,TrimmedReads,HostRemovedReads,OrphanReads,rRNARemovedReads
D04-NF-R3,D04,NF,R3,0.473045264,0.079515712,0.012930672,0.022265807,0.184098932,0.004822099,0.223088265,0.222096927,0.168093242,122,538,1722,2456,2639,2.910033339,8.664838534,0.051426926,0.106381269,0.021339562,0.045815418,0.017341042,0.118308469,0.010590852,0.063636715,0.001924769,0.032289689,0.016010825,0.007355907,1.84e-05,0.00284364,0.006236717,0.030668831,0.015441713,0.002049774,0.001617472,0.002728518,0.000391579,0.005129972,0.000140745,0.001002604,7.29e-05,0.000109265,0.007261742,0.002312413,0.000892515,0.000409516,2.06e-05,0.024823144,0.012899971,0.050322561,0.005949644,0.000870095,0.000181651,0.000224113,0.001193498,0.001108392,0.009250844,5.95e-05,8.36e-05,6.38e-05,0.000521984,0.002051056,0.003812293,0.000613404,0.272523725,0.000155753,7.37e-05,130,69263505,69263505,49957261,18698266,7252985,17043371
D04-OF-R1,D04,OF,R1,0.263678866,0.084583924,0.009055935,0.026211532,0.313795154,0.018828451,0.283568504,0.282005002,0.320783856,141,577,1613,2484,2696,2.491475284,3.875379207,0.046126491,0.070040339,0.004966586,0.047148435,0.00723733,0.022272802,0.006871954,0.035220687,0.000841344,0.022764418,0.012814476,0.006014837,1.13e-05,0.001322611,0.009819214,0.016093324,0.012367995,0.001116763,0.000855807,0.001216508,0.00051331,0.002236332,0.000172495,0.000583442,2.17e-05,5.54e-05,0.001831806,0.001660682,0.000842965,0.000183405,2.03e-05,0.032670222,0.01508416,0.034459263,0.007589926,0.002230472,0.0003756,0.000410012,0.001052989,0.001500218,0.003863787,0.000145939,0.000106789,3.26e-05,0.001297924,0.000808865,0.017665546,0.000913472,0.492714512,0.00057459,6.22e-05,4.6,77192584,77192584,74631926,30072873,2592660,26513938
D04-OF-R2,D04,OF,R2,0.388724719,0.121445505,0.012541792,0.027520796,0.133533633,0.012611954,0.303329524,0.301839902,0.312420329,165,680,1819,2582,2582,3.169753175,10.90871019,0.043240148,0.116663066,0.011483606,0.071216757,0.010371697,0.049127038,0.008875987,0.062405821,0.001810046,0.034712184,0.024339093,0.007848877,1.65e-05,0.002571608,0.010072695,0.028078368,0.019855215,0.001937128,0.001635105,0.003117341,0.000698602,0.003416343,0.000212113,0.000837765,5.58e-05,8.18e-05,0.002640144,0.002501679,0.000986221,0.000335013,3.23e-05,0.059432987,0.031035172,0.047404578,0.012354361,0.002757004,0.000455125,0.000596844,0.001517316,0.002692418,0.007551501,0.000171921,0.000113375,9.15e-05,0.001169061,0.001164879,0.011612546,0.001106798,0.232657499,0.00041563,6.6e-05,16.6,45235184,45235184,24457346,9272815,11725043,8015195
D04-OF-R3,D04,OF,R3,0.439413338,0.12942627,0.014734303,0.026228638,0.102683255,0.011979073,0.275217748,0.273919008,0.294543334,157,664,1816,2591,2792,3.26265323,13.49783838,0.055260325,0.128713569,0.015124159,0.083300713,0.01173688,0.049726537,0.008367527,0.066778129,0.002169813,0.03558322,0.027733945,0.007615858,1.42e-05,0.002384455,0.009935967,0.029495798,0.021588217,0.002245763,0.001832142,0.004681826,0.000895173,0.004392744,0.000204452,0.000911306,5.94e-05,9.27e-05,0.003475022,0.002689104,0.00109453,0.00035522,2.97e-05,0.068431105,0.0291953,0.042005104,0.013476844,0.002737788,0.000525518,0.000622885,0.001409275,0.002362,0.010369684,0.000174449,0.000143975,8.26e-05,0.001003956,0.001483715,0.008224024,0.00053033,0.169573573,0.00030597,7.1e-05,8.6,52908528,52908528,48844291,19826437,4186199,18713281
D04-OR-R2,D04,OR,R2,0.308356355,0.0587755,0.034914922,0.036934352,0.255890828,0.021345705,0.283148169,0.280282522,0.190609013,206,925,1375,1375,1375,2.871753771,4.925109766,0.016532608,0.126479041,0.011311963,0.028582604,0.011675878,0.011451407,0.017151603,0.045635575,0.001622311,0.021130856,0.016801292,0.007485758,0.000173455,0.001261797,0.004115296,0.018471218,0.007244282,0.001098546,0.000993113,0.00069722,0.000384321,0.00215968,0.000850268,0.000656407,2.72e-05,7.82e-05,0.002775274,0.002054247,0.000363915,0.000149647,2.04e-05,0.027790154,0.017243432,0.020688717,0.006043704,0.000302695,2.04e-05,0.0003163,0.000683615,0.00114276,0.011635065,0.000156449,5.44e-05,0.000550974,0.000561177,0.000908086,0.002013434,0.01234929,0.424171414,0.010186209,5.78e-05,5.3,55324239,55324239,3311665,740304,10991181,528200
D04-OR-R3,D04,OR,R3,0.320934402,0.067655943,0.026673633,0.030408615,0.26866235,0.020958385,0.264093977,0.261982093,0.210809258,189,823,1573,1965,1965,2.756024402,4.90889355,0.012115986,0.153555433,0.009833482,0.027925063,0.014457835,0.011127205,0.015882573,0.049617521,0.001332526,0.024105521,0.011466842,0.003769783,2.1e-05,0.000837679,0.003720481,0.021378386,0.007020068,0.001087385,0.001251269,0.000488456,0.000197665,0.001123448,0.001033974,0.000708946,3.52e-05,7.3e-05,0.002316285,0.002078448,0.00057793,0.000277096,6.39e-06,0.024028372,0.029871582,0.019912562,0.007551435,0.000278922,5.11e-05,0.000321377,0.000721271,0.000861873,0.008660275,8.67e-05,6.03e-05,0.000429567,0.000639558,0.001141708,0.002470582,0.014459661,0.415224391,0.009587885,7.08e-05,5.42,51456542,51456542,15056809,4709918,17712260,3701698
D04-ZF-R1,D04,ZF,R1,0.213834663,0.093803375,0.016432069,0.028175597,0.064334834,0.03478985,0.547942664,0.545515155,0.438672449,292,921,1847,2619,2619,3.593227285,13.29381516,0.044550516,0.090828295,0.021250639,0.063732948,0.023397638,0.026123904,0.012784397,0.023256104,0.00382838,0.026145142,0.044065443,0.006870949,2.12e-05,0.003122333,0.007337864,0.010213769,0.012787639,0.001724668,0.000733122,0.005668804,0.000612016,0.002437362,0.000460917,0.000766681,2.63e-05,5.4e-05,0.001506936,0.002261458,0.000977117,0.000190657,2.71e-05,0.019416051,0.015080549,0.147241212,0.007227782,0.001605021,0.000142993,0.000401417,0.003485165,0.007269934,0.013389279,0.000142831,0.000222595,5.03e-05,0.002223521,0.000871251,0.021376122,0.002885633,0.179651124,0.000331056,6.19e-05,12,74647381,74647381,67603301,21257823,4493571,17855396
D04-ZF-R2,D04,ZF,R2,0.203887261,0.100693721,0.011332867,0.02594467,0.054503467,0.035079244,0.567978951,0.565178958,0.493869605,303,987,1880,2565,2565,3.630981104,13.86393961,0.054855685,0.082814696,0.024586132,0.070371126,0.022586774,0.029203741,0.009298991,0.019106445,0.004258036,0.022732191,0.045048231,0.007803877,1.49e-05,0.002565641,0.007665904,0.008731964,0.012271849,0.001539534,0.000706736,0.006477506,0.000477692,0.002285974,0.000472481,0.000805252,3.03e-05,3.87e-05,0.001269544,0.002276792,0.001031567,0.000178669,2.53e-05,0.022822022,0.017842856,0.158219829,0.012119484,0.002527178,0.000207455,0.000524841,0.003725999,0.003833697,0.008951082,0.000121843,0.000188595,5.06e-05,0.003134653,0.00080823,0.017573115,0.002825704,0.159089104,0.000612935,6.6e-05,6.24,66379068,66379068,44450611,14638508,24850683,12192958
D04-ZF-R3,D04,ZF,R3,0.205597009,0.096874107,0.011716718,0.025939258,0.06257783,0.036353359,0.560345675,0.557860457,0.471184416,293,934,1866,2684,2684,3.567449107,13.04287357,0.043669746,0.083154709,0.023394189,0.073901259,0.02113707,0.029514772,0.007215332,0.022680625,0.003925109,0.026061601,0.048814676,0.007099159,1.54e-05,0.002477391,0.007369637,0.010613721,0.012209897,0.001706503,0.000776735,0.007167795,0.000362374,0.002380537,0.000529898,0.00078131,2.44e-05,4.54e-05,0.001319089,0.002014095,0.001103011,0.000180107,2.36e-05,0.020761604,0.016028239,0.156089721,0.008167216,0.00175315,0.000110327,0.000474608,0.00374729,0.003597688,0.009233368,9.24e-05,0.000188877,5.31e-05,0.002593818,0.000696532,0.017862481,0.002548823,0.175305864,0.000298314,6.15e-05,11.9,74874715,74874715,71074382,25484472,3362316,22789750
D04-ZH-R1,D04,ZH,R1,0.218826456,0.304783034,0.007295027,0.02963976,0.054964603,0.015383692,0.368454742,0.367093328,1.392807068,165,612,1484,2010,2010,2.96639304,7.672919691,0.063038409,0.060563256,0.017743181,0.017403396,0.007548986,0.018581338,0.011437669,0.015945304,0.000791302,0.029382362,0.010699776,0.002937155,2.98e-05,0.000448568,0.007774089,0.004284498,0.00451255,0.000849298,0.000287687,0.000429891,8.45e-05,0.000359772,0.001289674,0.00050296,1.9e-05,1.02e-05,0.000754276,0.0169083,0.000559973,8.65e-05,4.26e-06,0.092694695,0.025326572,0.305832402,0.037967413,0.00419734,0.000638939,0.00051836,0.006030604,0.00040204,0.003228446,2.62e-05,2.36e-05,3.37e-05,0.003188143,0.002920117,0.016622252,0.002337207,0.123397204,0.000373534,1.41e-05,14.1,51649573,51649573,38857124,10365077,6940905,7363475
D04-ZH-R2,D04,ZH,R2,0.198420853,0.300541093,0.009721252,0.034653233,0.044185439,0.019107594,0.392963542,0.390046248,1.514664857,211,843,1562,1865,1865,3.098761152,7.455093384,0.053350566,0.060012702,0.024581951,0.020170692,0.007220742,0.019531462,0.008387315,0.017484612,0.000797186,0.021498512,0.012519683,0.003087552,2.88e-05,0.000412167,0.008521414,0.005006886,0.004759256,0.000771682,0.000305218,0.000407231,8.56e-05,0.000299459,0.001103226,0.000744534,2.47e-05,1.56e-05,0.000656506,0.009966056,0.000452479,4.36e-05,6.58e-06,0.093301172,0.023669588,0.321897681,0.03256368,0.003685647,0.000579173,0.000447543,0.007136005,0.00041299,0.004328167,8.23e-06,6.99e-05,0.000318381,0.003006929,0.001900412,0.012134664,0.006039361,0.10334456,0.001155878,2.63e-05,16.4,81479718,81479718,15483480,4396570,18047038,3071365
D04-ZH-R3,D04,ZH,R3,0.1883668,0.33539376,0.005573764,0.028680281,0.060966802,0.019232366,0.361422194,0.359870398,1.780535426,163,632,1481,2104,2104,2.858549356,6.802696989,0.063137474,0.047382307,0.012620314,0.021783635,0.007887789,0.021202551,0.00669144,0.014211102,0.00077068,0.022584807,0.008666829,0.002732791,1.92e-05,0.000481491,0.004676458,0.004650638,0.003651262,0.000706989,0.00028255,0.000333945,7.4e-05,0.000347716,0.000791336,0.000524771,2.36e-05,1.38e-05,0.000672316,0.009523086,0.000446817,4.97e-05,1.01e-05,0.098435303,0.033776142,0.33084055,0.03887163,0.003379041,0.000437227,0.000533131,0.006102733,0.000316239,0.002711888,2.36e-05,1.82e-05,1.35e-05,0.003014357,0.002370074,0.013888223,0.003466338,0.128312061,0.000386324,3.39e-05,9.26,78433721,78433721,48674967,13600696,11431042,9127629
D04-ZR-R1,D04,ZR,R1,0.142952871,0.134247418,0.008544461,0.025645198,0.096992923,0.035877628,0.555255005,0.552900466,0.939102633,261,854,1684,2536,2536,3.197109988,7.78405338,0.031058754,0.04590306,0.013814768,0.044651154,0.016648066,0.026408408,0.004936306,0.014522008,0.003316407,0.019971523,0.026063331,0.005191487,2.75e-05,0.002449984,0.005412499,0.007564591,0.006749828,0.001386548,0.000493549,0.004022697,0.000310231,0.002099482,0.000675376,0.000416669,1.33e-05,2.43e-05,0.000865881,0.001476309,0.000663715,0.000111862,1.78e-05,0.026247598,0.023989475,0.217043421,0.009419739,0.002180294,0.00011715,0.000599717,0.004610075,0.002026806,0.006635661,7.53e-05,0.000126506,3.2e-05,0.002663132,0.000400263,0.023790021,0.002827874,0.267344899,0.000394026,6.3e-05,8.84,81756649,81756649,77537564,26092536,5239531,20992701
D04-ZR-R2,D04,ZR,R2,0.197968033,0.128254592,0.009440326,0.030109653,0.047616184,0.033952017,0.552077539,0.549607778,0.647855064,289,920,1834,2602,2602,3.554344263,12.87311249,0.02897971,0.067824729,0.020502349,0.047480722,0.020701597,0.027318809,0.011006695,0.017786397,0.005773095,0.022467683,0.095708859,0.006898082,1.6e-05,0.002610014,0.006597042,0.008943152,0.009249092,0.001406799,0.000587376,0.00261548,0.000416215,0.003701635,0.000572861,0.000763249,2.73e-05,3.94e-05,0.001163064,0.002505394,0.001059764,0.000142508,2.15e-05,0.032094912,0.029193284,0.191687843,0.010128082,0.001878433,0.000167391,0.000501795,0.00431427,0.001249587,0.007588946,0.00021659,0.000129879,0.001186438,0.002114062,0.00056796,0.028701103,0.002500493,0.134845115,0.00065486,4.34e-05,19.1,69535588,69535588,52130508,17949352,12402868,15577619
D04-ZR-R3,D04,ZR,R3,0.054980262,0.156517811,0.004452227,0.029888303,0.111088461,0.043357629,0.599137608,0.596436592,2.846799997,273,854,1616,2512,2512,2.896547271,5.29845588,0.012141341,0.023128778,0.003437155,0.013349871,0.005779597,0.009300029,0.002671611,0.006305702,0.001238755,0.009385351,0.017885676,0.00274434,4.72e-06,0.000491629,0.002326227,0.003404726,0.002535126,0.000355774,0.000249514,0.000707455,8.66e-05,0.000527836,0.000786324,0.000271081,1.15e-05,7.71e-06,0.00029312,0.001065905,0.000259117,5.32e-05,2.22e-05,0.033927308,0.026148922,0.273929033,0.011951962,0.003619135,0.000181823,0.000719262,0.005809507,0.000349792,0.001893474,4.12e-05,2.75e-05,3.57e-05,0.004088253,0.000426457,0.033555162,0.003287447,0.329873089,0.000605603,1.5e-05,5.98,74384666,74384666,70857468,23156041,3375034,19424994
D05-NF-R1,D05,NF,R1,0.4292948,0.221149626,0.098001399,0.134983213,0.000216463,0.00614308,0.109833239,0.108565294,0.515146296,140,559,1438,1737,1737,3.121667107,11.9719476,0.121268618,0.013209436,0.106154205,0.024968155,0.013387914,0.013870272,0.027101042,0.01400296,0.005680068,0.007942,0.003885404,0.006628134,1.98e-05,0.002412832,0.010554124,0.00230408,0.00277291,0.003961894,0.003677787,0.002177117,0.002472672,0.002259851,0.001300858,0.003372866,0.008296875,0.008474312,0.000836712,0.001183261,0.00059059,0.000768027,0.00306066,0.116902937,0.056691928,0.00025809,0.03561542,0.002101146,2.6e-06,0.000978245,0.000101467,0.115654113,0.019936435,0.000171713,0.006129645,5.88e-05,0.014640901,0.005159725,1.82e-05,0.001564672,0.000108231,6.56e-05,0.150687269,180,67167233,67167233,53739246,29656830,9392938,3214851
D05-NF-R2,D05,NF,R2,0.464608008,0.112018049,0.103201468,0.078297873,0.000182015,0.011020808,0.230216083,0.228246438,0.241102278,183,707,1779,2082,2082,3.249158286,11.32924979,0.172128178,0.021752682,0.173014797,0.035081438,0.013422473,0.013762062,0.007858996,0.01242687,0.004919573,0.018320459,0.001564218,0.005293911,3.69e-06,0.007381465,0.004512592,0.003990308,0.002753044,0.005026451,0.005414478,0.001769551,0.004132989,0.000713928,0.001484717,0.003134753,0.028833518,0.019699877,0.001734276,0.001885906,0.000594413,0.001342563,0.001391001,0.092120892,0.036082306,0.000239555,0.007666299,0.00108616,2.63e-06,0.000619159,0.000175849,0.111153699,0.024018191,9.58e-05,0.003332716,6.58e-05,0.027725245,0.005912543,1.63e-05,0.00156685,9.48e-06,0.000199542,0.030366146,197.6,70659288,70659288,31309116,11302911,23906993,3097351
D05-NF-R3,D05,NF,R3,0.477916851,0.121113245,0.113027471,0.10535953,0.000239476,0.003380162,0.17868684,0.17781895,0.253419071,133,504,1346,1901,1901,3.070450468,11.15090869,0.155893621,0.016918124,0.154827839,0.033123755,0.0194558,0.015835439,0.020652586,0.012496524,0.009364258,0.012807976,0.001959991,0.004728826,7.18e-06,0.006197762,0.009459342,0.002545706,0.002395262,0.006491042,0.00325017,0.001263978,0.00211635,0.001169317,0.000945343,0.002579091,0.016899953,0.016782894,0.001149033,0.001497673,0.000484293,0.001475698,0.001921957,0.080367217,0.041909059,0.000157205,0.007650217,0.001901673,8.45e-07,0.000750527,0.000103536,0.138715179,0.012633867,0.000258205,0.003964776,2.92e-05,0.013015469,0.006887013,9.3e-06,0.001252146,1.69e-06,0.000125933,0.098729767,40.2,44659947,44659947,39663666,21214830,2414475,3653561
D05-OF-R1,D05,OF,R1,0.315827684,0.332975619,0.032977106,0.14481081,0.000282822,0.002872634,0.170032125,0.16941155,1.054295224,109,429,1198,2103,2103,2.846297762,9.320152913,0.039890286,0.017956966,0.169133026,0.027072418,0.01115601,0.007673985,0.006230836,0.006352025,0.003145748,0.011337729,0.000416208,0.004062234,7.5e-06,0.001741401,0.003830461,0.002291991,0.001086177,0.001932303,0.002784508,0.000767618,0.008583098,0.000590814,0.000941577,0.002230943,0.022202859,0.014464982,0.000817025,0.001511051,0.000248587,0.000459019,0.001754981,0.167172786,0.175802316,0.00033188,0.027309752,0.006856054,4.53e-06,0.002677675,0.000155334,0.029038736,0.005806609,6.44e-05,0.001481691,1.94e-05,0.096278998,0.003768637,1.68e-05,0.000311057,0.000106833,3.43e-05,0.07036635,12.3,46017957,46017957,34769353,15535061,7002843,11692060
D05-OF-R2,D05,OF,R2,0.327704504,0.293200282,0.038722991,0.133349028,0.000437679,0.005114102,0.201242409,0.200209387,0.894709343,138,518,1455,1819,1819,2.923123369,9.26794454,0.049729097,0.016498062,0.171367415,0.026134469,0.008375156,0.008881894,0.003580164,0.007459001,0.003703213,0.012189672,0.000418366,0.005746943,4.92e-05,0.001925715,0.006430983,0.002797125,0.001382622,0.00186475,0.002703161,0.000658871,0.00765532,0.000440179,0.001491129,0.00271155,0.020163241,0.014749649,0.000899376,0.002005138,0.00030986,0.000449688,0.001333962,0.120934143,0.211578119,0.000508975,0.016467859,0.005566844,1.17e-05,0.003491233,0.00015437,0.033852432,0.006627862,0.000120812,0.002297659,5.37e-05,0.090769263,0.00362379,1.29e-05,0.001864191,0.000177862,0.000162201,0.068829083,16.2,44882131,44882131,10941280,4558955,12415669,2853419
D05-OF-R3,D05,OF,R3,0.385227122,0.227012186,0.049436179,0.085551029,0.000271448,0.004675161,0.247587315,0.246687487,0.589294401,141,504,1385,2412,2412,2.992577857,9.323407752,0.038832967,0.024089081,0.237595818,0.038769165,0.014272055,0.008977642,0.006168977,0.006761476,0.006013129,0.01508496,0.000442704,0.005841015,1.64e-06,0.001984664,0.00550158,0.003576935,0.001323698,0.002666561,0.003279739,0.001140488,0.009041822,0.000431356,0.001865635,0.002793913,0.025185564,0.022010732,0.001004311,0.002219697,0.000402733,0.000664119,0.001458993,0.135069885,0.141812195,0.000224315,0.014986988,0.004283672,2.65e-06,0.0017229,0.000192162,0.050077338,0.010945662,0.000109068,0.002208096,3.06e-05,0.050404542,0.005252677,1.29e-05,6.05e-05,1.48e-05,0.00010806,0.037295042,21.4,58910941,58910941,41624277,16790673,12793790,12923920
D05-ZF-R1,D05,ZF,R1,0.267282217,0.404599596,0.015173872,0.058825403,0.001405705,0.002189745,0.250370309,0.249815914,1.513754261,110,408,1178,2318,2318,2.604435071,5.434695279,0.0373408,0.016623523,0.154821709,0.028321761,0.027343763,0.008880079,0.003660847,0.004253812,0.003529392,0.010165818,0.001092209,0.003738644,3.96e-06,0.004321163,0.009584923,0.002728493,0.000888434,0.002612051,0.002204501,0.001679494,0.00644675,0.000718638,0.000451165,0.001928304,0.014153172,0.014743601,0.00062096,0.002675445,0.000586575,0.000388886,0.008477398,0.382126198,0.061673078,0.000378135,0.042441358,0.004720091,3.25e-06,0.001418715,0.000236131,0.008270073,0.004943847,8.51e-05,0.000938642,1.39e-05,0.063412112,0.002394887,6.39e-06,0.000203166,0.001482921,0.000113197,0.003281394,5,73078918,73078918,68085459,27413141,3331423,17882274
D05-ZF-R2,D05,ZF,R2,0.38221278,0.168137723,0.023236757,0.058409656,0.000294774,0.003043079,0.364426532,0.362880279,0.439906074,145,572,1600,2696,2696,3.192385708,11.15247004,0.089307808,0.022847046,0.200226872,0.040289867,0.056143988,0.011015754,0.004821081,0.011084536,0.005957959,0.01753429,0.002371468,0.005540948,4.92e-06,0.011183927,0.007251967,0.003865819,0.002711055,0.005336403,0.005757496,0.003419038,0.007795979,0.001562053,0.001321617,0.003652992,0.052389564,0.01664625,0.001170849,0.003156155,0.001339262,0.000833063,0.010165286,0.164137249,0.047650229,0.000272606,0.019777798,0.004319202,3.96e-06,0.001123194,0.000199143,0.014062795,0.006341,0.000132282,0.002900835,2.84e-05,0.043099113,0.002531118,2.02e-05,0.000101912,1.32e-06,0.000224471,0.014667666,7.02,67825810,67825810,51761163,19254069,10894719,16510199
D05-ZF-R3,D05,ZF,R3,0.293423622,0.310024877,0.010722384,0.082294334,0.000619888,0.001971994,0.300804961,0.299981345,1.05657777,122,431,1223,2326,2633,2.817062313,7.934247255,0.031530307,0.021522525,0.196640408,0.032722949,0.037363912,0.007009291,0.002917741,0.006077804,0.005577245,0.012300502,0.000670331,0.003951243,6.67e-06,0.004310106,0.00710943,0.002914961,0.001483818,0.00277938,0.002859297,0.001613632,0.008106866,0.000468523,0.00051418,0.002097235,0.015893716,0.016373358,0.000755947,0.00258327,0.000946497,0.000484228,0.017197825,0.254030101,0.073608081,0.000265047,0.053954992,0.006631387,4.03e-06,0.001905017,0.000224324,0.005736801,0.002766802,6.99e-05,0.000802855,1.92e-05,0.09516438,0.001631978,1.18e-05,1.25e-05,2.71e-06,8.03e-05,0.007780804,7.28,75433188,75433188,72057231,27731878,3751647,26468554
D05-ZH-R1,D05,ZH,R1,0.150700795,0.593995489,0.008155917,0.139929217,0.000804745,0.004133904,0.10203914,0.100853256,3.9415551,105,404,1195,2034,2034,2.171447669,3.537967265,0.019681208,0.010099007,0.074331817,0.015649925,0.007627791,0.010645097,0.001960733,0.004582032,0.001433279,0.005232781,0.000412479,0.002024127,2.73e-05,0.000654742,0.002422797,0.001227455,0.000881864,0.000854077,0.001800833,0.001128453,0.002801333,0.000378203,0.000613811,0.001671215,0.004835443,0.006019637,0.000533112,0.000884693,0.00023827,0.000443761,0.003472215,0.506133364,0.071555111,0.000468885,0.068543795,0.005370219,1.18e-05,0.001206323,0.000194176,0.000752247,0.003570884,2.61e-05,0.000351914,8.82e-06,0.098660948,0.005581367,1.16e-05,0.000928786,4.01e-05,2.13e-05,0.015165898,43,67274289,67274289,35326811,11181993,23957944,9434024
D05-ZH-R2,D05,ZH,R2,0.189586471,0.4636997,0.036673476,0.13139058,0.010665204,0.020733738,0.147020628,0.143963989,2.445848046,209,598,1307,1713,1713,2.845734691,5.330701298,0.027553264,0.019815281,0.075976452,0.019864256,0.010098895,0.020779574,0.002907232,0.01147356,0.002144749,0.0081568,0.001999514,0.002505303,0.000211942,0.001386487,0.003675626,0.004490462,0.002196256,0.001084196,0.002056932,0.001203255,0.002485037,0.000825813,0.001222676,0.002261274,0.003592876,0.005783222,0.001030155,0.000944027,0.00035211,0.000197587,0.002408198,0.405812606,0.059385893,0.005706382,0.056039578,0.005431956,7.77e-05,0.001104461,0.000315802,0.001512301,0.006239192,7.6e-05,0.00019421,9.12e-05,0.085376192,0.004090221,0.000291314,0.014157874,0.015478498,0.000232207,0.010137737,28.6,70265577,70265577,13158866,2717155,23065518,1992125
D05-ZH-R3,D05,ZH,R3,0.11296763,0.619915365,0.007689883,0.162942128,0.000815948,0.008797137,0.086765714,0.085318198,5.487548673,115,458,1349,1862,1862,2.111518762,3.484793614,0.017368926,0.007565576,0.045152821,0.011530142,0.004384194,0.010492953,0.001974484,0.003761435,0.001258144,0.003393053,0.000206472,0.001147481,3.71e-07,0.000451194,0.001425253,0.000761274,0.000678091,0.000580796,0.001542972,0.000354271,0.002406739,0.000139257,0.000258833,0.001571938,0.003365573,0.003549021,0.00034313,0.000464934,0.000131459,0.000301539,0.004609234,0.504853028,0.090259966,0.000432255,0.070641754,0.006032259,1.15e-05,0.001427481,0.000218727,0.001035332,0.004813107,1.63e-05,0.000237295,3.34e-05,0.125501373,0.006650191,7.43e-07,0.000370982,4.46e-05,0.000108064,0.017266433,22.2,48416359,48416359,19398937,5519490,27940541,4140038
D05-ZR-R1,D05,ZR,R1,0.374135262,0.250364947,0.022823275,0.070602774,0.000368737,0.002933235,0.278444925,0.277587784,0.669182974,140,504,1381,2148,2399,3.021119373,8.865142556,0.041561136,0.025346065,0.24193878,0.045101005,0.024109043,0.010771531,0.005290139,0.00840939,0.007391922,0.017249555,0.001498074,0.005223205,6.6e-06,0.007130784,0.008864646,0.003663406,0.001806787,0.003697524,0.003372576,0.002127741,0.010729946,0.001357,0.000689309,0.002677972,0.015839598,0.020833351,0.001459876,0.003470156,0.000655624,0.000620291,0.012402605,0.187656082,0.078144666,0.000252804,0.026664085,0.003102756,2.6e-06,0.002032245,0.000250547,0.01166659,0.007015928,0.000233879,0.001968436,3.02e-05,0.071633045,0.005571071,1.57e-05,0.000317568,2.78e-06,6.05e-05,0.0066125,8.3,79089024,79089024,65283437,26208139,3752652,20982908
D05-ZR-R2,D05,ZR,R2,0.303679712,0.261786045,0.01665357,0.062302751,0.000578839,0.00217135,0.352714042,0.351870012,0.862046541,132,456,1320,2314,2314,2.891846723,7.877196621,0.031397817,0.01993612,0.210330297,0.037429333,0.049795888,0.009239724,0.003994808,0.006447064,0.00532439,0.013995505,0.001833435,0.005692843,9.35e-06,0.006472517,0.015772842,0.003390531,0.001559519,0.002794045,0.002569822,0.002415377,0.006732581,0.001321618,0.000767899,0.002222493,0.011194708,0.017315393,0.000935504,0.003879147,0.000712493,0.000461432,0.012268035,0.255124018,0.059077167,0.000516146,0.033229694,0.004093327,5.89e-06,0.001541166,0.000323609,0.009414947,0.005048916,0.000277032,0.001473466,1.33e-05,0.078369879,0.002815688,6.75e-06,0.000293135,2.18e-05,0.000193576,0.003485068,8.2,64403235,64403235,37298869,13975577,12392206,11895731
